concept,entity,actual,predicted,human,missing data,missing relation,incorrect relation,incorrect reasoning
"Member of the European Parliament, 1989–1994",Carlos Garaikoetxea,negative,positive,positive,FALSE,FALSE,TRUE,FALSE
"Member of the European Parliament, 1989–1994",Cesare De Picolli,negative,positive,positive,FALSE,FALSE,TRUE,FALSE
"Member of the European Parliament, 1989–1994",Florus Wijsenbeek,negative,positive,positive,FALSE,FALSE,TRUE,FALSE
"Member of the European Parliament, 1989–1994",Hans Peters,negative,positive,positive,FALSE,FALSE,TRUE,FALSE
21st-century American drummer,Taylor Hanson,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
21st-century American drummer,Kris Bergstrom,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
21st-century American drummer,Trixie Whitley,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
21st-century American drummer,Manimou Camara,negative,positive,positive,FALSE,TRUE,FALSE,FALSE
2017 video game,The Shrouded Isle,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
2017 video game,Wolfenstein II: The New Colossus,positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Clube Náutico Capibaribe player,Ives (footballer),positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Clube Náutico Capibaribe player,Vinícius Eutrópio,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Clube Náutico Capibaribe player,Yuri Mamute,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Clube Náutico Capibaribe player,Gladstone (footballer),positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Clube Náutico Capibaribe player,Renaldo (footballer),positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Clube Náutico Capibaribe player,Daniel Bueno (footballer),positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Clube Náutico Capibaribe player,Hugo Almeida (Brazilian footballer),positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Clube Náutico Capibaribe player,"Nivaldo (footballer, born 1980)",positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Clube Náutico Capibaribe player,"Suéliton (footballer, born 1991)",positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Clube Náutico Capibaribe player,Rafael Alemão,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
"Member of the House of Representatives of Japan, 2003–2005",Kenji Kobayashi,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
PlayStation VR game,Gods (video game),positive,negative,negative,FALSE,FALSE,TRUE,FALSE
PlayStation VR game,Doom (1993 video game),positive,negative,negative,FALSE,FALSE,TRUE,FALSE
PlayStation VR game,Esper Dream,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
PlayStation VR game,Eve Online,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
PlayStation VR game,Power Eleven,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
PlayStation VR game,Sharknado: The Video Game,positive,negative,positive,FALSE,FALSE,FALSE,TRUE
England under-21 international footballer,Ray Wilkins,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
England under-21 international footballer,Chris Woods,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
England under-21 international footballer,Hayden Mullins,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
England under-21 international footballer,Trevor Benjamin,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
England under-21 international footballer,Alan Curbishley,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
England under-21 international footballer,Ashley Cole,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
England under-21 international footballer,Fikayo Tomori,positive,negative,positive,TRUE,FALSE,FALSE,FALSE
Autobiography,And the Beat Goes On (The Whispers song),positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Autobiography,Anna Sui (2009 book),positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Autobiography,Nine Lives (2005 film),positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Autobiography,"Beam Me Up, Scotty (D.C. Scorpio song)",positive,negative,negative,FALSE,FALSE,TRUE,FALSE
Autobiography,Fight the Power (Public Enemy song),positive,negative,negative,FALSE,FALSE,TRUE,FALSE
